time,X_value,Y_value,Z_value
Started:,Oct 14 2017,16:09:29:362, 
5.1147,-0.82039,1.50330,9.65279
5.1244,-0.77960,1.53659,9.62868
5.1347,-0.79250,1.51985,9.57953
5.1604,-0.81415,1.51558,9.56924
5.1604,-0.80949,1.53116,9.57971
5.1636,-0.78888,1.54143,9.58640
5.1762,-0.79520,1.58682,9.58549
5.1825,-0.89288,1.51260,9.65010
5.1928,-0.79651,1.55695,9.67537
5.2044,-0.83423,1.54503,9.67633
5.2140,-0.76282,1.49448,9.66866
5.2229,-0.73647,1.52373,9.63934
5.2334,-0.80730,1.49208,9.59338
5.2434,-0.87384,1.48689,9.52242
5.2534,-0.81702,1.51793,9.50058
5.2620,-0.79391,1.57428,9.50133
5.2784,-0.84039,1.53253,9.60487
5.2824,-0.85855,1.51599,9.71103
5.2930,-0.81929,1.52501,9.74524
5.3013,-0.78757,1.53627,9.68365
5.3113,-0.79079,1.50667,9.58629
5.3225,-0.80476,1.52319,9.54079
5.3323,-0.81805,1.50729,9.61092
5.3414,-0.80492,1.49719,9.64719
5.3505,-0.81792,1.52629,9.64856
5.3605,-0.82068,1.54091,9.59834
5.3705,-0.80373,1.53853,9.59674
5.3817,-0.80617,1.50995,9.66916
5.3919,-0.83437,1.50621,9.71245
5.4014,-0.84166,1.50481,9.67204
5.4195,-0.78961,1.51662,9.61206
5.4216,-0.80032,1.53387,9.48770
5.4303,-0.80792,1.58025,9.41682
5.4399,-0.77002,1.60278,9.44809
5.4496,-0.76559,1.60928,9.60912
5.4606,-0.77214,1.58151,9.69470
5.4709,-0.79169,1.53665,9.68654
5.4802,-0.84924,1.50214,9.69562
5.4908,-0.83127,1.45728,9.72681
5.5001,-0.82878,1.47801,9.81732
5.5159,-0.85722,1.44705,9.82515
5.5296,-0.85217,1.46848,9.82217
5.5338,-0.77521,1.49973,9.72035
5.5434,-0.76620,1.54004,9.60675
5.5531,-0.79343,1.53706,9.37431
5.5632,-0.80507,1.51729,9.30768
5.5732,-0.82774,1.53317,9.41701
5.5843,-0.85857,1.55061,9.53136
5.6012,-0.43739,1.38519,9.79338
5.6215,-0.51160,1.30785,9.95598
5.6218,-0.39409,1.35754,9.97755
5.6296,-0.47490,1.45598,9.53450
5.6388,-0.51523,1.36403,9.45052
5.6491,-0.44121,1.43063,9.65218
5.6584,-0.49944,1.35820,9.88037
5.6686,-0.56450,1.33568,10.00775
5.6856,-0.43642,1.36549,9.99606
5.6889,-0.44550,1.40182,9.80597
5.6995,-0.54184,1.40907,9.61452
5.7082,-0.49417,1.37250,9.64017
5.7172,-0.43636,1.38020,9.71210
5.7283,-0.47340,1.38075,9.78030
5.7380,-0.43269,1.42653,9.69963
5.7478,-0.36369,1.42070,9.59839
5.7573,-0.38199,1.43071,9.48358
5.7676,-0.35951,1.43498,9.38142
5.7777,-0.39388,1.44521,9.38699
5.7888,-0.44983,1.43134,9.41194
5.8015,-0.46301,1.41908,9.53838
5.8067,-0.55826,1.37740,9.64346
5.8168,-0.54797,1.37471,9.63274
5.8253,-0.50154,1.44434,9.47810
