id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise,angle,ang
198,10.277999,9.883821,0.371678,0.004483,0.739809,2,0.370771,0.000001,0.000000,0.162085,21.090442,88.935047
200,10.278051,9.883801,0.361756,0.004300,0.724714,2,0.358744,0.000001,0.000000,0.566055,18.025437,89.652336
202,10.277761,9.883869,0.341004,0.003740,0.675252,2,0.341008,0.000001,0.000000,0.142731,17.660074,89.045401
204,10.000000,10.000000,0.398095,0.017609,0.796189,1,0.399041,0.000001,0.000000,0.381124,18.768841,88.864203
206,10.000000,10.000000,0.356263,0.014103,0.712527,1,0.359230,0.000001,0.000000,0.366346,17.941323,89.255568
167,17.570145,9.644341,0.622094,0.000000,1.199693,14,0.618611,0.000001,0.000000,0.482417,40.605684,89.528242
179,14.349101,9.677397,0.487889,0.000001,0.934589,11,0.486578,0.000001,0.000000,0.201562,40.146768,89.058867
191,12.456683,9.697771,0.327304,0.000002,0.657125,5,0.326101,0.000001,0.000000,0.958322,15.312262,89.955711
192,10.276888,9.883939,0.424969,0.005735,0.834164,5,0.427097,0.000001,0.000000,0.510733,27.846324,89.813255
198,10.783824,9.777280,0.370934,0.000804,0.739809,3,0.371359,0.000001,0.000000,0.167217,23.618417,89.108814
200,10.783623,9.777243,0.359285,0.000773,0.724714,3,0.358707,0.000001,0.000000,0.548998,20.124346,89.807243
202,10.783403,9.777348,0.341008,0.000671,0.675252,3,0.341447,0.000001,0.000000,0.138490,19.722234,89.175073
204,10.278079,9.883822,0.398762,0.005190,0.796189,2,0.399683,0.000001,0.000000,0.370762,21.358864,89.073347
205,10.000000,10.000000,0.394135,0.017260,0.788270,2,0.400464,0.000001,0.000000,0.324083,23.016489,89.289682
206,10.277946,9.883812,0.358356,0.004159,0.712527,2,0.359830,0.000001,0.000000,0.372179,20.552511,89.462127
167,18.096680,9.597758,0.621456,0.000000,1.199693,15,0.617996,0.000001,0.000000,0.475455,41.437201,89.575150
198,11.537183,9.717243,0.371325,0.000065,0.739809,4,0.371804,0.000001,0.000000,0.169961,26.034224,89.243877
200,11.536728,9.717135,0.358754,0.000063,0.724714,4,0.358903,0.000001,0.000000,0.531959,22.123261,89.894265
202,11.536455,9.717218,0.341411,0.000055,0.675252,4,0.341801,0.000001,0.000000,0.135075,21.698849,89.275166
204,10.784027,9.777329,0.399518,0.000930,0.796189,3,0.400369,0.000001,0.000000,0.360947,23.821416,89.210285
205,10.277682,9.883887,0.398598,0.005099,0.788270,3,0.400768,0.000001,0.000000,0.326705,25.734645,89.420548
206,10.783681,9.777272,0.359566,0.000746,0.712527,3,0.360242,0.000001,0.000000,0.373071,23.038745,89.598289
167,18.738966,9.560023,0.620632,0.000000,1.199693,16,0.617764,0.000001,0.000000,0.466502,42.248327,89.635778
198,12.461540,9.698842,0.371786,0.000002,0.739809,5,0.372138,0.000001,0.000000,0.167458,28.322463,89.420645
204,11.537374,9.717257,0.400300,0.000076,0.796189,4,0.400923,0.000001,0.000000,0.347023,26.144341,89.375935
206,11.536894,9.717200,0.360187,0.000061,0.712527,4,0.360156,0.000001,0.000000,0.363903,25.387379,89.765006
167,19.637058,9.547714,0.619895,0.000000,1.199693,17,0.616824,0.000001,0.000000,0.456527,43.008973,89.668427
198,13.444375,9.694977,0.372034,0.000001,0.739809,6,0.372203,0.000001,0.000000,0.161536,30.523471,89.520652
204,12.461793,9.698855,0.400901,0.000003,0.796189,5,0.401009,0.000001,0.000000,0.332232,28.338979,89.433425
206,12.461250,9.698818,0.360157,0.000002,0.712527,5,0.360420,0.000001,0.000000,0.355089,27.624971,89.809914
167,20.476149,9.530291,0.619167,0.000000,1.199693,18,0.616859,0.000001,0.000000,0.448516,43.710208,89.720160
198,14.432819,9.692616,0.372105,0.000000,0.739809,7,0.372940,0.000001,0.000000,0.157925,32.584000,89.592574
206,13.443743,9.694870,0.360341,0.000001,0.712527,6,0.360893,0.000001,0.000000,0.354481,29.725437,89.932690
198,15.420132,9.690276,0.372356,0.000000,0.739809,8,0.373879,0.000001,0.000000,0.160701,34.549190,89.607157
206,14.430834,9.692227,0.360567,0.000000,0.712527,7,0.362211,0.000001,0.000000,0.359195,31.759944,89.997919
198,16.397991,9.686565,0.372704,0.000000,0.739809,9,0.375163,0.000001,0.000000,0.166891,36.407622,89.605300
204,13.445421,9.695118,0.400979,0.000001,0.796189,8,0.405012,0.000001,0.000000,0.322274,34.149296,89.527661
198,17.300676,9.671973,0.373141,0.000000,0.739809,10,0.375449,0.000001,0.000000,0.174830,38.207353,89.661097
199,10.000000,10.000000,0.299674,0.009978,0.599349,10,0.303912,0.000001,0.000000,1.077674,11.069891,89.626375
